0 annotation: 168
1 annotation: 164
2 annotation: 166
3 annotation: 163
4 annotation: 162
5 annotation: 164
6 annotation: 164
7 annotation: 166
8 annotation: 166
9 annotation: 163
10 annotation: 162
11 annotation: 167
12 annotation: 164
13 annotation: 163
14 annotation: 164
15 annotation: 163
16 annotation: 165
17 annotation: 164
18 annotation: 164
19 annotation: 163
20 annotation: 165
21 annotation: 165
22 annotation: 169
23 annotation: 169
24 annotation: 169
  Annotated, PSIPP,   1,   0,   0,   148.436,   148.436,         1
Unannotated,  CCBS,   1,   0,   0,   148.436,   148.436,         1
Unannotated, PSIPP,   1,   0,   0,   148.436,   148.436,         1
  Annotated, PSIPP,   1,   0,   1,   160.107,   160.107,         1
Unannotated,  CCBS,   1,   0,   1,   160.107,   160.107,         1
Unannotated, PSIPP,   1,   0,   1,   160.107,   160.107,         1
  Annotated, PSIPP,   1,   0,   2,   167.334,   167.334,         1
Unannotated,  CCBS,   1,   0,   2,   167.334,   167.334,         1
Unannotated, PSIPP,   1,   0,   2,   167.334,   167.334,         1
  Annotated, PSIPP,   1,   0,   3,   231.823,   231.823,         1
Unannotated,  CCBS,   1,   0,   3,   231.823,   231.823,         1
Unannotated, PSIPP,   1,   0,   3,   231.823,   231.823,         1
  Annotated, PSIPP,   1,   0,   4,    81.894,    81.894,         1
Unannotated,  CCBS,   1,   0,   4,    81.894,    81.894,         1
Unannotated, PSIPP,   1,   0,   4,    81.894,    81.894,         1
  Annotated, PSIPP,   1,   0,   5,   228.433,   228.433,         1
Unannotated,  CCBS,   1,   0,   5,   228.433,   228.433,         1
Unannotated, PSIPP,   1,   0,   5,   228.433,   228.433,         1
  Annotated, PSIPP,   1,   0,   6,   209.183,   209.183,         1
Unannotated,  CCBS,   1,   0,   6,   209.183,   209.183,         1
Unannotated, PSIPP,   1,   0,   6,   209.183,   209.183,         1
  Annotated, PSIPP,   1,   0,   7,    97.904,    97.904,         1
Unannotated,  CCBS,   1,   0,   7,    97.904,    97.904,         1
Unannotated, PSIPP,   1,   0,   7,    97.904,    97.904,         1
  Annotated, PSIPP,   1,   0,   8,    79.618,    79.618,         1
Unannotated,  CCBS,   1,   0,   8,    79.618,    79.618,         1
Unannotated, PSIPP,   1,   0,   8,    79.618,    79.618,         1
  Annotated, PSIPP,   1,   0,   9,   242.521,   242.521,         1
Unannotated,  CCBS,   1,   0,   9,   242.521,   242.521,         1
Unannotated, PSIPP,   1,   0,   9,   242.521,   242.521,         1
  Annotated, PSIPP,   1,   0,  10,   163.420,   163.420,         1
Unannotated,  CCBS,   1,   0,  10,   163.420,   163.420,         1
Unannotated, PSIPP,   1,   0,  10,   163.420,   163.420,         1
  Annotated, PSIPP,   1,   0,  11,   220.599,   220.599,         1
Unannotated,  CCBS,   1,   0,  11,   220.599,   220.599,         1
Unannotated, PSIPP,   1,   0,  11,   220.599,   220.599,         1
  Annotated, PSIPP,   1,   0,  12,   156.739,   156.739,         1
Unannotated,  CCBS,   1,   0,  12,   156.739,   156.739,         1
Unannotated, PSIPP,   1,   0,  12,   156.739,   156.739,         1
  Annotated, PSIPP,   1,   0,  13,   262.845,   262.845,         1
Unannotated,  CCBS,   1,   0,  13,   262.845,   262.845,         1
Unannotated, PSIPP,   1,   0,  13,   262.845,   262.845,         1
  Annotated, PSIPP,   1,   0,  14,   207.408,   207.408,         1
Unannotated,  CCBS,   1,   0,  14,   207.408,   207.408,         1
Unannotated, PSIPP,   1,   0,  14,   207.408,   207.408,         1
  Annotated, PSIPP,   1,   0,  15,   209.675,   209.675,         1
