0 annotation: 69
1 annotation: 64
2 annotation: 77
3 annotation: 67
4 annotation: 70
5 annotation: 62
6 annotation: 60
7 annotation: 73
8 annotation: 73
9 annotation: 76
10 annotation: 74
11 annotation: 68
12 annotation: 65
13 annotation: 82
14 annotation: 59
15 annotation: 63
16 annotation: 64
17 annotation: 74
18 annotation: 62
19 annotation: 66
20 annotation: 76
21 annotation: 75
22 annotation: 82
23 annotation: 79
24 annotation: 63
  Annotated, PSIPP,   1,   0,   0,   315.894,   315.894,         0
Unannotated,  CCBS,   1,   0,   0,   315.894,   315.894,         0
Unannotated, PSIPP,   1,   0,   0,   315.894,   315.894,         0
  Annotated, PSIPP,   1,   0,   1,   194.746,   194.746,         0
Unannotated,  CCBS,   1,   0,   1,   194.746,   194.746,         0
Unannotated, PSIPP,   1,   0,   1,   194.746,   194.746,         0
  Annotated, PSIPP,   1,   0,   3,   320.224,   320.224,         0
Unannotated,  CCBS,   1,   0,   3,   320.224,   320.224,         0
Unannotated, PSIPP,   1,   0,   3,   320.224,   320.224,         0
  Annotated, PSIPP,   1,   0,   4,   130.863,   130.863,         0
Unannotated,  CCBS,   1,   0,   4,   130.863,   130.863,         0
Unannotated, PSIPP,   1,   0,   4,   130.863,   130.863,         0
  Annotated, PSIPP,   1,   0,   5,    19.736,    19.736,         0
Unannotated,  CCBS,   1,   0,   5,    19.736,    19.736,         0
Unannotated, PSIPP,   1,   0,   5,    19.736,    19.736,         0
  Annotated, PSIPP,   1,   0,   6,   165.539,   165.539,         0
Unannotated,  CCBS,   1,   0,   6,   165.539,   165.539,         0
Unannotated, PSIPP,   1,   0,   6,   165.539,   165.539,         0
  Annotated, PSIPP,   1,   0,   7,    33.917,    33.917,         0
Unannotated,  CCBS,   1,   0,   7,    33.917,    33.917,         0
Unannotated, PSIPP,   1,   0,   7,    33.917,    33.917,         0
  Annotated, PSIPP,   1,   0,   8,    82.478,    82.478,         0
Unannotated,  CCBS,   1,   0,   8,    82.478,    82.478,         0
Unannotated, PSIPP,   1,   0,   8,    82.478,    82.478,         0
  Annotated, PSIPP,   1,   0,   9,    19.740,    19.740,         0
Unannotated,  CCBS,   1,   0,   9,    19.740,    19.740,         0
Unannotated, PSIPP,   1,   0,   9,    19.740,    19.740,         0
  Annotated, PSIPP,   1,   0,  10,   115.343,   115.343,         0
Unannotated,  CCBS,   1,   0,  10,   115.343,   115.343,         0
Unannotated, PSIPP,   1,   0,  10,   115.343,   115.343,         0
  Annotated, PSIPP,   1,   0,  11,   130.876,   130.876,         0
Unannotated,  CCBS,   1,   0,  11,   130.876,   130.876,         0
Unannotated, PSIPP,   1,   0,  11,   130.876,   130.876,         0
  Annotated, PSIPP,   1,   0,  12,   176.096,   176.096,         0
Unannotated,  CCBS,   1,   0,  12,   176.096,   176.096,         0
Unannotated, PSIPP,   1,   0,  12,   176.096,   176.096,         0
  Annotated, PSIPP,   1,   0,  13,   162.931,   162.931,         0
Unannotated,  CCBS,   1,   0,  13,   162.931,   162.931,         0
Unannotated, PSIPP,   1,   0,  13,   162.931,   162.931,         0
  Annotated, PSIPP,   1,   0,  14,   257.493,   257.493,         0
Unannotated,  CCBS,   1,   0,  14,   257.493,   257.493,         0
Unannotated, PSIPP,   1,   0,  14,   257.493,   257.493,         0
  Annotated, PSIPP,   1,   0,  15,    19.264,    19.264,         0
Unannotated,  CCBS,   1,   0,  15,    19.264,    19.264,         0
Unannotated, PSIPP,   1,   0,  15,    19.264,    19.264,         0
  Annotated, PSIPP,   1,   0,  16,   258.246,   258.246,         0
Unannotated,  CCBS,   1,   0,  16,   258.246,   258.246,         0
Unannotated, PSIPP,   1,   0,  16,   258.246,   258.246,         0
  Annotated, PSIPP,   1,   0,  17,    52.766,    52.766,         0
Unannotated,  CCBS,   1,   0,  17,    52.766,    52.766,         0
Unannotated, PSIPP,   1,   0,  17,    52.766,    52.766,         0
  Annotated, PSIPP,   1,   0,  18,   217.265,   217.265,         0
Unannotated,  CCBS,   1,   0,  18,   217.265,   217.265,         0
Unannotated, PSIPP,   1,   0,  18,   217.265,   217.265,         0
  Annotated, PSIPP,   1,   0,  19,   277.978,   277.978,         0
Unannotated,  CCBS,   1,   0,  19,   277.978,   277.978,         0
Unannotated, PSIPP,   1,   0,  19,   277.978,   277.978,         0
  Annotated, PSIPP,   1,   0,  20,   117.623,   117.623,         0
