0 annotation: 9597
1 annotation: 9545
2 annotation: 9493
3 annotation: 9626
4 annotation: 9695
5 annotation: 9594
6 annotation: 9549
7 annotation: 9546
8 annotation: 9642
9 annotation: 9730
10 annotation: 9800
11 annotation: 9923
12 annotation: 9821
13 annotation: 9838
14 annotation: 9910
15 annotation: 10640
16 annotation: 10844
17 annotation: 13163
18 annotation: 10646
19 annotation: 11090
20 annotation: 10776
21 annotation: 11803
22 annotation: 10854
23 annotation: 13361
24 annotation: 10522
  Annotated, PSIPP,   1,   0,   0,   178.316,   178.316,      1653
Unannotated,  CCBS,   1,   0,   0,   178.316,   178.316,        80
Unannotated, PSIPP,   1,   0,   0,   178.316,   178.316,        32
  Annotated, PSIPP,   1,   0,   1,    11.893,    11.893,       143
Unannotated,  CCBS,   1,   0,   1,    11.893,    11.893,        13
Unannotated, PSIPP,   1,   0,   1,    11.893,    11.893,        21
  Annotated, PSIPP,   1,   0,   2,    51.130,    51.130,        19
Unannotated,  CCBS,   1,   0,   2,    51.130,    51.130,        13
Unannotated, PSIPP,   1,   0,   2,    51.130,    51.130,        21
  Annotated, PSIPP,   1,   0,   3,   273.865,   273.865,        23
Unannotated,  CCBS,   1,   0,   3,   273.865,   273.865,        14
Unannotated, PSIPP,   1,   0,   3,   273.865,   273.865,        24
  Annotated, PSIPP,   1,   0,   4,    36.995,    36.995,        22
Unannotated,  CCBS,   1,   0,   4,    36.995,    36.995,        14
Unannotated, PSIPP,   1,   0,   4,    36.995,    36.995,        21
  Annotated, PSIPP,   1,   0,   5,    87.221,    87.221,       952
Unannotated,  CCBS,   1,   0,   5,    87.221,    87.221,        14
Unannotated, PSIPP,   1,   0,   5,    87.221,    87.221,        22
  Annotated, PSIPP,   1,   0,   6,   106.440,   106.440,      2903
Unannotated,  CCBS,   1,   0,   6,   106.440,   106.440,        38
Unannotated, PSIPP,   1,   0,   6,   106.440,   106.440,        22
  Annotated, PSIPP,   1,   0,   7,   242.573,   242.573,     12233
Unannotated,  CCBS,   1,   0,   7,   242.573,   242.573,        14
Unannotated, PSIPP,   1,   0,   7,   242.573,   242.573,        24
  Annotated, PSIPP,   1,   0,   8,   138.517,   138.517,      8484
Unannotated,  CCBS,   1,   0,   8,   138.517,   138.517,        93
Unannotated, PSIPP,   1,   0,   8,   138.517,   138.517,        31
  Annotated, PSIPP,   1,   0,   9,   137.071,   137.071,        41
Unannotated,  CCBS,   1,   0,   9,   137.071,   137.071,        14
Unannotated, PSIPP,   1,   0,   9,   137.071,   137.071,        22
  Annotated, PSIPP,   1,   0,  10,   113.579,   113.579,      1020
Unannotated,  CCBS,   1,   0,  10,   113.579,   113.579,        38
Unannotated, PSIPP,   1,   0,  10,   113.579,   113.579,        22
  Annotated, PSIPP,   1,   0,  11,   159.885,   159.885,      5454
Unannotated,  CCBS,   1,   0,  11,   159.885,   159.885,        14
Unannotated, PSIPP,   1,   0,  11,   159.885,   159.885,        22
  Annotated, PSIPP,   1,   0,  12,   277.493,   277.493,       112
Unannotated,  CCBS,   1,   0,  12,   277.493,   277.493,        14
