0 annotation: 136
1 annotation: 130
2 annotation: 128
3 annotation: 131
4 annotation: 130
5 annotation: 127
6 annotation: 127
7 annotation: 132
8 annotation: 134
9 annotation: 130
10 annotation: 128
11 annotation: 127
12 annotation: 129
13 annotation: 129
14 annotation: 128
15 annotation: 129
16 annotation: 128
17 annotation: 132
18 annotation: 127
19 annotation: 129
20 annotation: 128
21 annotation: 128
22 annotation: 128
23 annotation: 130
24 annotation: 128
  Annotated, PSIPP,   1,   0,   0,   126.789,   126.789,         1
Unannotated,  CCBS,   1,   0,   0,   126.789,   126.789,         0
Unannotated, PSIPP,   1,   0,   0,   126.789,   126.789,         0
  Annotated, PSIPP,   1,   0,   1,   193.328,   193.328,         0
Unannotated,  CCBS,   1,   0,   1,   193.328,   193.328,         0
Unannotated, PSIPP,   1,   0,   1,   193.328,   193.328,         1
  Annotated, PSIPP,   1,   0,   2,   112.527,   112.527,         0
Unannotated,  CCBS,   1,   0,   2,   112.527,   112.527,         0
Unannotated, PSIPP,   1,   0,   2,   112.527,   112.527,         0
  Annotated, PSIPP,   1,   0,   3,   253.133,   253.133,         1
Unannotated,  CCBS,   1,   0,   3,   253.133,   253.133,         0
Unannotated, PSIPP,   1,   0,   3,   253.133,   253.133,         1
  Annotated, PSIPP,   1,   0,   4,   146.644,   146.644,         0
Unannotated,  CCBS,   1,   0,   4,   146.644,   146.644,         1
Unannotated, PSIPP,   1,   0,   4,   146.644,   146.644,         0
  Annotated, PSIPP,   1,   0,   5,   178.240,   178.240,         0
Unannotated,  CCBS,   1,   0,   5,   178.240,   178.240,         0
Unannotated, PSIPP,   1,   0,   5,   178.240,   178.240,         1
  Annotated, PSIPP,   1,   0,   6,     7.755,     7.755,         0
Unannotated,  CCBS,   1,   0,   6,     7.755,     7.755,         1
Unannotated, PSIPP,   1,   0,   6,     7.755,     7.755,         0
  Annotated, PSIPP,   1,   0,   7,    36.918,    36.918,         0
Unannotated,  CCBS,   1,   0,   7,    36.918,    36.918,         0
Unannotated, PSIPP,   1,   0,   7,    36.918,    36.918,         0
  Annotated, PSIPP,   1,   0,   8,   102.639,   102.639,         0
Unannotated,  CCBS,   1,   0,   8,   102.639,   102.639,         0
Unannotated, PSIPP,   1,   0,   8,   102.639,   102.639,         0
  Annotated, PSIPP,   1,   0,   9,    38.983,    38.983,         0
Unannotated,  CCBS,   1,   0,   9,    38.983,    38.983,         0
Unannotated, PSIPP,   1,   0,   9,    38.983,    38.983,         0
  Annotated, PSIPP,   1,   0,  10,    85.210,    85.210,         0
Unannotated,  CCBS,   1,   0,  10,    85.210,    85.210,         0
Unannotated, PSIPP,   1,   0,  10,    85.210,    85.210,         0
  Annotated, PSIPP,   1,   0,  11,   118.064,   118.064,         0
Unannotated,  CCBS,   1,   0,  11,   118.064,   118.064,         0
Unannotated, PSIPP,   1,   0,  11,   118.064,   118.064,         0
  Annotated, PSIPP,   1,   0,  12,   114.432,   114.432,         0
Unannotated,  CCBS,   1,   0,  12,   114.432,   114.432,         0
Unannotated, PSIPP,   1,   0,  12,   114.432,   114.432,         0
  Annotated, PSIPP,   1,   0,  13,    30.620,    30.620,         0
Unannotated,  CCBS,   1,   0,  13,    30.620,    30.620,         0
Unannotated, PSIPP,   1,   0,  13,    30.620,    30.620,         0
  Annotated, PSIPP,   1,   0,  14,   141.071,   141.071,         0
Unannotated,  CCBS,   1,   0,  14,   141.071,   141.071,         1
Unannotated, PSIPP,   1,   0,  14,   141.071,   141.071,         0
  Annotated, PSIPP,   1,   0,  15,    96.967,    96.967,         0
Unannotated,  CCBS,   1,   0,  15,    96.967,    96.967,         0
Unannotated, PSIPP,   1,   0,  15,    96.967,    96.967,         0
  Annotated, PSIPP,   1,   0,  16,   109.872,   109.872,         0
Unannotated,  CCBS,   1,   0,  16,   109.872,   109.872,         0
Unannotated, PSIPP,   1,   0,  16,   109.872,   109.872,         1
  Annotated, PSIPP,   1,   0,  17,   139.999,   139.999,         0
Unannotated,  CCBS,   1,   0,  17,   139.999,   139.999,         0
Unannotated, PSIPP,   1,   0,  17,   139.999,   139.999,         0
  Annotated, PSIPP,   1,   0,  18,   191.321,   191.321,         1
Unannotated,  CCBS,   1,   0,  18,   191.321,   191.321,         1
Unannotated, PSIPP,   1,   0,  18,   191.321,   191.321,         1
  Annotated, PSIPP,   1,   0,  19,   146.771,   146.771,         0
Unannotated,  CCBS,   1,   0,  19,   146.771,   146.771,         0
Unannotated, PSIPP,   1,   0,  19,   146.771,   146.771,         0
  Annotated, PSIPP,   1,   0,  20,    74.895,    74.895,         0
Unannotated,  CCBS,   1,   0,  20,    74.895,    74.895,         0
Unannotated, PSIPP,   1,   0,  20,    74.895,    74.895,         0
  Annotated, PSIPP,   1,   0,  21,   170.219,   170.219,         1
Unannotated,  CCBS,   1,   0,  21,   170.219,   170.219,         0
Unannotated, PSIPP,   1,   0,  21,   170.219,   170.219,         1
  Annotated, PSIPP,   1,   0,  22,    48.843,    48.843,         0
Unannotated,  CCBS,   1,   0,  22,    48.843,    48.843,         0
