0 annotation: 695
1 annotation: 692
2 annotation: 674
3 annotation: 676
4 annotation: 679
5 annotation: 679
6 annotation: 683
7 annotation: 686
8 annotation: 683
9 annotation: 679
10 annotation: 662
11 annotation: 666
12 annotation: 660
13 annotation: 663
14 annotation: 672
15 annotation: 666
16 annotation: 665
17 annotation: 672
18 annotation: 672
19 annotation: 678
20 annotation: 671
21 annotation: 678
22 annotation: 675
23 annotation: 686
24 annotation: 675
  Annotated, PSIPP,   1,   0,   0,    67.582,    67.582,         7
Unannotated,  CCBS,   1,   0,   0,    67.582,    67.582,         3
Unannotated, PSIPP,   1,   0,   0,    67.582,    67.582,         6
  Annotated, PSIPP,   1,   0,   1,   244.206,   244.206,         6
Unannotated,  CCBS,   1,   0,   1,   244.206,   244.206,         4
Unannotated, PSIPP,   1,   0,   1,   244.206,   244.206,         7
  Annotated, PSIPP,   1,   0,   2,   161.384,   161.384,         6
Unannotated,  CCBS,   1,   0,   2,   161.384,   161.384,         4
Unannotated, PSIPP,   1,   0,   2,   161.384,   161.384,         7
  Annotated, PSIPP,   1,   0,   3,   198.173,   198.173,         6
Unannotated,  CCBS,   1,   0,   3,   198.173,   198.173,         4
Unannotated, PSIPP,   1,   0,   3,   198.173,   198.173,         7
  Annotated, PSIPP,   1,   0,   4,   121.873,   121.873,         5
Unannotated,  CCBS,   1,   0,   4,   121.873,   121.873,         4
Unannotated, PSIPP,   1,   0,   4,   121.873,   121.873,         7
  Annotated, PSIPP,   1,   0,   5,   159.916,   159.916,         5
Unannotated,  CCBS,   1,   0,   5,   159.916,   159.916,         4
Unannotated, PSIPP,   1,   0,   5,   159.916,   159.916,         7
  Annotated, PSIPP,   1,   0,   6,   222.349,   222.349,         6
Unannotated,  CCBS,   1,   0,   6,   222.349,   222.349,         4
Unannotated, PSIPP,   1,   0,   6,   222.349,   222.349,         7
  Annotated, PSIPP,   1,   0,   7,   216.782,   216.782,         5
Unannotated,  CCBS,   1,   0,   7,   216.782,   216.782,         4
Unannotated, PSIPP,   1,   0,   7,   216.782,   216.782,         8
  Annotated, PSIPP,   1,   0,   8,   244.202,   244.202,         6
Unannotated,  CCBS,   1,   0,   8,   244.202,   244.202,         4
Unannotated, PSIPP,   1,   0,   8,   244.202,   244.202,         7
  Annotated, PSIPP,   1,   0,   9,   199.557,   199.557,         6
Unannotated,  CCBS,   1,   0,   9,   199.557,   199.557,         4
Unannotated, PSIPP,   1,   0,   9,   199.557,   199.557,         7
  Annotated, PSIPP,   1,   0,  10,   191.862,   191.862,         5
Unannotated,  CCBS,   1,   0,  10,   191.862,   191.862,         4
Unannotated, PSIPP,   1,   0,  10,   191.862,   191.862,         7
  Annotated, PSIPP,   1,   0,  11,   174.873,   174.873,         5
Unannotated,  CCBS,   1,   0,  11,   174.873,   174.873,         8
Unannotated, PSIPP,   1,   0,  11,   174.873,   174.873,        12
  Annotated, PSIPP,   1,   0,  12,   218.931,   218.931,         8
Unannotated,  CCBS,   1,   0,  12,   218.931,   218.931,         4
Unannotated, PSIPP,   1,   0,  12,   218.931,   218.931,         8
  Annotated, PSIPP,   1,   0,  13,   184.275,   184.275,         5
Unannotated,  CCBS,   1,   0,  13,   184.275,   184.275,         4
Unannotated, PSIPP,   1,   0,  13,   184.275,   184.275,         7
  Annotated, PSIPP,   1,   0,  14,    74.147,    74.147,         5
Unannotated,  CCBS,   1,   0,  14,    74.147,    74.147,         4
Unannotated, PSIPP,   1,   0,  14,    74.147,    74.147,         7
  Annotated, PSIPP,   1,   0,  15,   113.159,   113.159,         5
Unannotated,  CCBS,   1,   0,  15,   113.159,   113.159,         4
Unannotated, PSIPP,   1,   0,  15,   113.159,   113.159,         7
  Annotated, PSIPP,   1,   0,  16,   230.275,   230.275,         6
Unannotated,  CCBS,   1,   0,  16,   230.275,   230.275,         4
Unannotated, PSIPP,   1,   0,  16,   230.275,   230.275,         9
  Annotated, PSIPP,   1,   0,  17,    87.803,    87.803,         6
