0 annotation: 8467
1 annotation: 8467
2 annotation: 8378
3 annotation: 8395
4 annotation: 8537
5 annotation: 8452
6 annotation: 8781
7 annotation: 8586
8 annotation: 8672
9 annotation: 8744
10 annotation: 8744
11 annotation: 8926
12 annotation: 8776
13 annotation: 8609
14 annotation: 8777
15 annotation: 8780
16 annotation: 27888
17 annotation: 14353
18 annotation: 10265
19 annotation: 9949
20 annotation: 9077
21 annotation: 10429
22 annotation: 9770
23 annotation: 9417
24 annotation: 9489
  Annotated, PSIPP,   1,   0,   0,   157.636,   157.636,        49
Unannotated,  CCBS,   1,   0,   0,   157.636,   157.636,        13
Unannotated, PSIPP,   1,   0,   0,   157.636,   157.636,        25
  Annotated, PSIPP,   1,   0,   1,   143.462,   143.462,        57
Unannotated,  CCBS,   1,   0,   1,   143.462,   143.462,        14
Unannotated, PSIPP,   1,   0,   1,   143.462,   143.462,        22
  Annotated, PSIPP,   1,   0,   2,   132.916,   132.916,        25
Unannotated,  CCBS,   1,   0,   2,   132.916,   132.916,        13
Unannotated, PSIPP,   1,   0,   2,   132.916,   132.916,        22
  Annotated, PSIPP,   1,   0,   3,   121.737,   121.737,        21
Unannotated,  CCBS,   1,   0,   3,   121.737,   121.737,        13
Unannotated, PSIPP,   1,   0,   3,   121.737,   121.737,        22
  Annotated, PSIPP,   1,   0,   4,    45.986,    45.986,        20
Unannotated,  CCBS,   1,   0,   4,    45.986,    45.986,        13
Unannotated, PSIPP,   1,   0,   4,    45.986,    45.986,        22
  Annotated, PSIPP,   1,   0,   5,   186.553,   186.553,        20
Unannotated,  CCBS,   1,   0,   5,   186.553,   186.553,        13
Unannotated, PSIPP,   1,   0,   5,   186.553,   186.553,        23
  Annotated, PSIPP,   1,   0,   6,   145.819,   145.819,        35
Unannotated,  CCBS,   1,   0,   6,   145.819,   145.819,        15
Unannotated, PSIPP,   1,   0,   6,   145.819,   145.819,        22
  Annotated, PSIPP,   1,   0,   7,    96.556,    96.556,      1874
Unannotated,  CCBS,   1,   0,   7,    96.556,    96.556,        13
Unannotated, PSIPP,   1,   0,   7,    96.556,    96.556,        22
  Annotated, PSIPP,   1,   0,   8,   200.741,   200.741,      6361
Unannotated,  CCBS,   1,   0,   8,   200.741,   200.741,        14
Unannotated, PSIPP,   1,   0,   8,   200.741,   200.741,        23
  Annotated, PSIPP,   1,   0,   9,    51.745,    51.745,       729
Unannotated,  CCBS,   1,   0,   9,    51.745,    51.745,        13
Unannotated, PSIPP,   1,   0,   9,    51.745,    51.745,        22
  Annotated, PSIPP,   1,   0,  10,    39.962,    39.962,       310
Unannotated,  CCBS,   1,   0,  10,    39.962,    39.962,        14
Unannotated, PSIPP,   1,   0,  10,    39.962,    39.962,        22
  Annotated, PSIPP,   1,   0,  11,    72.509,    72.509,       725
Unannotated,  CCBS,   1,   0,  11,    72.509,    72.509,        13
Unannotated, PSIPP,   1,   0,  11,    72.509,    72.509,        22
  Annotated, PSIPP,   1,   0,  12,    59.532,    59.532,        20
Unannotated,  CCBS,   1,   0,  12,    59.532,    59.532,        14
Unannotated, PSIPP,   1,   0,  12,    59.532,    59.532,        22
