0 annotation: 74
1 annotation: 73
2 annotation: 72
3 annotation: 72
4 annotation: 72
5 annotation: 71
6 annotation: 70
7 annotation: 70
8 annotation: 69
9 annotation: 69
10 annotation: 69
11 annotation: 69
12 annotation: 71
13 annotation: 69
14 annotation: 69
15 annotation: 69
16 annotation: 70
17 annotation: 71
18 annotation: 71
19 annotation: 71
20 annotation: 70
21 annotation: 69
22 annotation: 70
23 annotation: 69
24 annotation: 69
  Annotated, PSIPP,   1,   0,   0,   216.198,   216.198,         0
Unannotated,  CCBS,   1,   0,   0,   216.198,   216.198,         0
Unannotated, PSIPP,   1,   0,   0,   216.198,   216.198,         0
  Annotated, PSIPP,   1,   0,   1,   188.630,   188.630,         0
Unannotated,  CCBS,   1,   0,   1,   188.630,   188.630,         0
Unannotated, PSIPP,   1,   0,   1,   188.630,   188.630,         0
  Annotated, PSIPP,   1,   0,   2,   175.282,   175.282,         0
Unannotated,  CCBS,   1,   0,   2,   175.282,   175.282,         0
Unannotated, PSIPP,   1,   0,   2,   175.282,   175.282,         0
  Annotated, PSIPP,   1,   0,   3,   127.365,   127.365,         0
Unannotated,  CCBS,   1,   0,   3,   127.365,   127.365,         0
Unannotated, PSIPP,   1,   0,   3,   127.365,   127.365,         0
  Annotated, PSIPP,   1,   0,   4,   288.129,   288.129,         0
Unannotated,  CCBS,   1,   0,   4,   288.129,   288.129,         0
Unannotated, PSIPP,   1,   0,   4,   288.129,   288.129,         0
  Annotated, PSIPP,   1,   0,   5,    85.110,    85.110,         0
Unannotated,  CCBS,   1,   0,   5,    85.110,    85.110,         0
Unannotated, PSIPP,   1,   0,   5,    85.110,    85.110,         0
  Annotated, PSIPP,   1,   0,   6,    76.336,    76.336,         0
Unannotated,  CCBS,   1,   0,   6,    76.336,    76.336,         0
Unannotated, PSIPP,   1,   0,   6,    76.336,    76.336,         0
  Annotated, PSIPP,   1,   0,   7,   118.321,   118.321,         0
Unannotated,  CCBS,   1,   0,   7,   118.321,   118.321,         0
Unannotated, PSIPP,   1,   0,   7,   118.321,   118.321,         0
  Annotated, PSIPP,   1,   0,   8,   253.934,   253.934,         0
Unannotated,  CCBS,   1,   0,   8,   253.934,   253.934,         0
Unannotated, PSIPP,   1,   0,   8,   253.934,   253.934,         0
  Annotated, PSIPP,   1,   0,   9,   183.377,   183.377,         0
Unannotated,  CCBS,   1,   0,   9,   183.377,   183.377,         0
Unannotated, PSIPP,   1,   0,   9,   183.377,   183.377,         0
  Annotated, PSIPP,   1,   0,  10,   101.489,   101.489,         0
Unannotated,  CCBS,   1,   0,  10,   101.489,   101.489,         0
Unannotated, PSIPP,   1,   0,  10,   101.489,   101.489,         0
  Annotated, PSIPP,   1,   0,  11,   202.101,   202.101,         0
Unannotated,  CCBS,   1,   0,  11,   202.101,   202.101,         0
Unannotated, PSIPP,   1,   0,  11,   202.101,   202.101,         0
  Annotated, PSIPP,   1,   0,  12,   129.939,   129.939,         0
