0 annotation: 885
1 annotation: 863
2 annotation: 857
3 annotation: 860
4 annotation: 866
5 annotation: 861
6 annotation: 865
7 annotation: 894
8 annotation: 854
9 annotation: 878
10 annotation: 894
11 annotation: 849
12 annotation: 862
13 annotation: 887
14 annotation: 878
15 annotation: 860
16 annotation: 860
17 annotation: 876
18 annotation: 847
19 annotation: 889
20 annotation: 846
21 annotation: 872
22 annotation: 889
23 annotation: 899
24 annotation: 898
  Annotated, PSIPP,   1,   0,   0,   206.059,   206.059,         2
Unannotated,  CCBS,   1,   0,   0,   206.059,   206.059,         1
Unannotated, PSIPP,   1,   0,   0,   206.059,   206.059,         1
  Annotated, PSIPP,   1,   0,   1,   226.848,   226.848,         1
Unannotated,  CCBS,   1,   0,   1,   226.848,   226.848,         1
Unannotated, PSIPP,   1,   0,   1,   226.848,   226.848,         1
  Annotated, PSIPP,   1,   0,   2,   210.112,   210.112,         1
Unannotated,  CCBS,   1,   0,   2,   210.112,   210.112,         1
Unannotated, PSIPP,   1,   0,   2,   210.112,   210.112,         1
  Annotated, PSIPP,   1,   0,   3,   219.763,   219.763,         1
Unannotated,  CCBS,   1,   0,   3,   219.763,   219.763,         1
Unannotated, PSIPP,   1,   0,   3,   219.763,   219.763,         1
  Annotated, PSIPP,   1,   0,   4,    38.854,    38.854,         1
Unannotated,  CCBS,   1,   0,   4,    38.854,    38.854,         1
Unannotated, PSIPP,   1,   0,   4,    38.854,    38.854,         1
  Annotated, PSIPP,   1,   0,   5,    76.955,    76.955,         1
Unannotated,  CCBS,   1,   0,   5,    76.955,    76.955,         1
Unannotated, PSIPP,   1,   0,   5,    76.955,    76.955,         1
  Annotated, PSIPP,   1,   0,   6,   279.180,   279.180,         1
Unannotated,  CCBS,   1,   0,   6,   279.180,   279.180,         1
Unannotated, PSIPP,   1,   0,   6,   279.180,   279.180,         1
  Annotated, PSIPP,   1,   0,   7,   237.003,   237.003,         1
Unannotated,  CCBS,   1,   0,   7,   237.003,   237.003,         1
Unannotated, PSIPP,   1,   0,   7,   237.003,   237.003,         1
  Annotated, PSIPP,   1,   0,   8,   177.322,   177.322,         1
Unannotated,  CCBS,   1,   0,   8,   177.322,   177.322,         1
Unannotated, PSIPP,   1,   0,   8,   177.322,   177.322,         1
  Annotated, PSIPP,   1,   0,   9,    51.462,    51.462,         1
Unannotated,  CCBS,   1,   0,   9,    51.462,    51.462,         1
Unannotated, PSIPP,   1,   0,   9,    51.462,    51.462,         1
  Annotated, PSIPP,   1,   0,  10,    12.272,    12.272,         1
Unannotated,  CCBS,   1,   0,  10,    12.272,    12.272,         1
Unannotated, PSIPP,   1,   0,  10,    12.272,    12.272,         1
  Annotated, PSIPP,   1,   0,  11,   134.315,   134.315,         1
Unannotated,  CCBS,   1,   0,  11,   134.315,   134.315,         1
Unannotated, PSIPP,   1,   0,  11,   134.315,   134.315,         1
  Annotated, PSIPP,   1,   0,  12,   128.217,   128.217,         1
Unannotated,  CCBS,   1,   0,  12,   128.217,   128.217,         1
Unannotated, PSIPP,   1,   0,  12,   128.217,   128.217,         1
  Annotated, PSIPP,   1,   0,  13,   102.262,   102.262,         1
Unannotated,  CCBS,   1,   0,  13,   102.262,   102.262,         1
Unannotated, PSIPP,   1,   0,  13,   102.262,   102.262,         1
  Annotated, PSIPP,   1,   0,  14,   212.127,   212.127,         1
Unannotated,  CCBS,   1,   0,  14,   212.127,   212.127,         1
Unannotated, PSIPP,   1,   0,  14,   212.127,   212.127,         1
  Annotated, PSIPP,   1,   0,  15,   138.953,   138.953,         1
Unannotated,  CCBS,   1,   0,  15,   138.953,   138.953,         1
Unannotated, PSIPP,   1,   0,  15,   138.953,   138.953,         1
  Annotated, PSIPP,   1,   0,  16,   167.786,   167.786,         1
Unannotated,  CCBS,   1,   0,  16,   167.786,   167.786,         1
Unannotated, PSIPP,   1,   0,  16,   167.786,   167.786,         1
  Annotated, PSIPP,   1,   0,  17,   221.242,   221.242,         1
Unannotated,  CCBS,   1,   0,  17,   221.242,   221.242,         1
Unannotated, PSIPP,   1,   0,  17,   221.242,   221.242,         1
  Annotated, PSIPP,   1,   0,  18,   180.039,   180.039,         1
Unannotated,  CCBS,   1,   0,  18,   180.039,   180.039,         1
Unannotated, PSIPP,   1,   0,  18,   180.039,   180.039,         1
  Annotated, PSIPP,   1,   0,  19,    48.217,    48.217,         1
Unannotated,  CCBS,   1,   0,  19,    48.217,    48.217,         1
Unannotated, PSIPP,   1,   0,  19,    48.217,    48.217,         1
  Annotated, PSIPP,   1,   0,  20,   127.832,   127.832,         1
Unannotated,  CCBS,   1,   0,  20,   127.832,   127.832,         1
Unannotated, PSIPP,   1,   0,  20,   127.832,   127.832,         1
  Annotated, PSIPP,   1,   0,  21,   131.497,   131.497,         1
Unannotated,  CCBS,   1,   0,  21,   131.497,   131.497,         1
Unannotated, PSIPP,   1,   0,  21,   131.497,   131.497,         1
  Annotated, PSIPP,   1,   0,  22,    55.593,    55.593,         1
Unannotated,  CCBS,   1,   0,  22,    55.593,    55.593,         1
Unannotated, PSIPP,   1,   0,  22,    55.593,    55.593,         1
  Annotated, PSIPP,   1,   0,  23,   212.975,   212.975,         1
Unannotated,  CCBS,   1,   0,  23,   212.975,   212.975,         1
Unannotated, PSIPP,   1,   0,  23,   212.975,   212.975,         1
  Annotated, PSIPP,   1,   0,  24,   206.632,   206.632,         1
Unannotated,  CCBS,   1,   0,  24,   206.632,   206.632,         1
Unannotated, PSIPP,   1,   0,  24,   206.632,   206.632,         1
  Annotated, PSIPP,   2,   0,   0,   206.059,   313.975,         1
Unannotated,  CCBS,   2,   0,   0,   206.059,   313.975,         2
Unannotated, PSIPP,   2,   0,   0,   206.059,   313.975,       631
  Annotated, PSIPP,   2,   0,   1,   226.848,   334.947,         1
Unannotated,  CCBS,   2,   0,   1,   226.848,   334.947,         2
Unannotated, PSIPP,   2,   0,   1,   226.848,   334.947,       667
  Annotated, PSIPP,   2,   0,   2,   210.112,   243.168,         1
Unannotated,  CCBS,   2,   0,   2,   210.112,   243.168,         2
Unannotated, PSIPP,   2,   0,   2,   210.112,   243.168,       663
  Annotated, PSIPP,   2,   0,   3,   219.763,   323.972,         1
Unannotated,  CCBS,   2,   0,   3,   219.763,   323.972,         2
Unannotated, PSIPP,   2,   0,   3,   219.763,   323.972,       663
  Annotated, PSIPP,   2,   0,   4,   182.443,   221.298,         1
Unannotated,  CCBS,   2,   0,   4,   182.443,   221.298,         2
Unannotated, PSIPP,   2,   0,   4,   182.443,   221.298,       174
  Annotated, PSIPP,   2,   0,   5,   120.427,   197.382,         1
Unannotated,  CCBS,   2,   0,   5,   120.427,   197.382,         2
Unannotated, PSIPP,   2,   0,   5,   120.427,   197.382,       281
