0 annotation: 17
1 annotation: 16
2 annotation: 17
3 annotation: 17
4 annotation: 17
5 annotation: 17
6 annotation: 17
7 annotation: 16
8 annotation: 17
9 annotation: 17
10 annotation: 19
11 annotation: 18
12 annotation: 17
13 annotation: 18
14 annotation: 17
15 annotation: 17
16 annotation: 17
17 annotation: 17
18 annotation: 17
19 annotation: 17
20 annotation: 17
21 annotation: 17
22 annotation: 17
23 annotation: 17
24 annotation: 16
  Annotated, PSIPP,   1,   0,   0,   134.632,   134.632,         0
Unannotated,  CCBS,   1,   0,   0,   134.632,   134.632,         0
Unannotated, PSIPP,   1,   0,   0,   134.632,   134.632,         0
  Annotated, PSIPP,   1,   0,   1,    35.546,    35.546,         0
Unannotated,  CCBS,   1,   0,   1,    35.546,    35.546,         0
Unannotated, PSIPP,   1,   0,   1,    35.546,    35.546,         0
  Annotated, PSIPP,   1,   0,   2,   131.944,   131.944,         0
Unannotated,  CCBS,   1,   0,   2,   131.944,   131.944,         0
Unannotated, PSIPP,   1,   0,   2,   131.944,   131.944,         0
  Annotated, PSIPP,   1,   0,   3,    87.878,    87.878,         0
Unannotated,  CCBS,   1,   0,   3,    87.878,    87.878,         0
Unannotated, PSIPP,   1,   0,   3,    87.878,    87.878,         0
  Annotated, PSIPP,   1,   0,   4,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   4,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   4,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   5,   465.891,   465.891,         0
Unannotated,  CCBS,   1,   0,   5,   465.891,   465.891,         0
Unannotated, PSIPP,   1,   0,   5,   465.891,   465.891,         0
  Annotated, PSIPP,   1,   0,   6,   324.021,   324.021,         0
Unannotated,  CCBS,   1,   0,   6,   324.021,   324.021,         0
Unannotated, PSIPP,   1,   0,   6,   324.021,   324.021,         0
  Annotated, PSIPP,   1,   0,   7,   385.665,   385.665,         0
Unannotated,  CCBS,   1,   0,   7,   385.665,   385.665,         0
Unannotated, PSIPP,   1,   0,   7,   385.665,   385.665,         0
  Annotated, PSIPP,   1,   0,   8,   259.076,   259.076,         0
Unannotated,  CCBS,   1,   0,   8,   259.076,   259.076,         0
Unannotated, PSIPP,   1,   0,   8,   259.076,   259.076,         0
  Annotated, PSIPP,   1,   0,   9,   396.762,   396.762,         0
Unannotated,  CCBS,   1,   0,   9,   396.762,   396.762,         0
Unannotated, PSIPP,   1,   0,   9,   396.762,   396.762,         0
  Annotated, PSIPP,   1,   0,  10,   235.607,   235.607,         0
Unannotated,  CCBS,   1,   0,  10,   235.607,   235.607,         0
Unannotated, PSIPP,   1,   0,  10,   235.607,   235.607,         0
  Annotated, PSIPP,   1,   0,  11,   271.695,   271.695,         0
Unannotated,  CCBS,   1,   0,  11,   271.695,   271.695,         0
Unannotated, PSIPP,   1,   0,  11,   271.695,   271.695,         0
  Annotated, PSIPP,   1,   0,  12,    82.351,    82.351,         0
Unannotated,  CCBS,   1,   0,  12,    82.351,    82.351,         0
Unannotated, PSIPP,   1,   0,  12,    82.351,    82.351,         0
  Annotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  14,   190.384,   190.384,         0
Unannotated,  CCBS,   1,   0,  14,   190.384,   190.384,         0
Unannotated, PSIPP,   1,   0,  14,   190.384,   190.384,         0
  Annotated, PSIPP,   1,   0,  15,    54.315,    54.315,         0
Unannotated,  CCBS,   1,   0,  15,    54.315,    54.315,         0
Unannotated, PSIPP,   1,   0,  15,    54.315,    54.315,         0
  Annotated, PSIPP,   1,   0,  16,    89.215,    89.215,         0
Unannotated,  CCBS,   1,   0,  16,    89.215,    89.215,         0
Unannotated, PSIPP,   1,   0,  16,    89.215,    89.215,         0
  Annotated, PSIPP,   1,   0,  17,   154.160,   154.160,         0
Unannotated,  CCBS,   1,   0,  17,   154.160,   154.160,         0
Unannotated, PSIPP,   1,   0,  17,   154.160,   154.160,         0
  Annotated, PSIPP,   1,   0,  18,   214.170,   214.170,         0
Unannotated,  CCBS,   1,   0,  18,   214.170,   214.170,         0
Unannotated, PSIPP,   1,   0,  18,   214.170,   214.170,         0
  Annotated, PSIPP,   1,   0,  19,   116.244,   116.244,         0
Unannotated,  CCBS,   1,   0,  19,   116.244,   116.244,         0
Unannotated, PSIPP,   1,   0,  19,   116.244,   116.244,         0
  Annotated, PSIPP,   1,   0,  20,    19.014,    19.014,         0
Unannotated,  CCBS,   1,   0,  20,    19.014,    19.014,         0
Unannotated, PSIPP,   1,   0,  20,    19.014,    19.014,         0
  Annotated, PSIPP,   1,   0,  21,   572.692,   572.692,         0
Unannotated,  CCBS,   1,   0,  21,   572.692,   572.692,         0
Unannotated, PSIPP,   1,   0,  21,   572.692,   572.692,         0
  Annotated, PSIPP,   1,   0,  22,   171.891,   171.891,         0
Unannotated,  CCBS,   1,   0,  22,   171.891,   171.891,         0
Unannotated, PSIPP,   1,   0,  22,   171.891,   171.891,         0
  Annotated, PSIPP,   1,   0,  23,   243.221,   243.221,         0
Unannotated,  CCBS,   1,   0,  23,   243.221,   243.221,         0
Unannotated, PSIPP,   1,   0,  23,   243.221,   243.221,         0
  Annotated, PSIPP,   1,   0,  24,   361.794,   361.794,         0
Unannotated,  CCBS,   1,   0,  24,   361.794,   361.794,         0
Unannotated, PSIPP,   1,   0,  24,   361.794,   361.794,         0
  Annotated, PSIPP,   2,   0,   0,   148.811,   283.443,         0
Unannotated,  CCBS,   2,   0,   0,   148.811,   283.443,         0
Unannotated, PSIPP,   2,   0,   0,   148.811,   283.443,        76
  Annotated, PSIPP,   2,   0,   1,    -1.000,    -1.000,         0
Unannotated,  CCBS,   2,   0,   1,    -1.000,    -1.000,         0
Unannotated, PSIPP,   2,   0,   1,    -1.000,    -1.000,        28
  Annotated, PSIPP,   2,   0,   2,   131.944,   220.800,         0
Unannotated,  CCBS,   2,   0,   2,   139.913,   220.800,         1
Unannotated, PSIPP,   2,   0,   2,   131.944,   220.800,        68
  Annotated, PSIPP,   2,   0,   3,    87.878,   146.470,         0
Unannotated,  CCBS,   2,   0,   3,    87.878,   146.470,         0
Unannotated, PSIPP,   2,   0,   3,    87.878,   146.470,        57
  Annotated, PSIPP,   2,   0,   5,    -1.000,    -1.000,         0
Unannotated,  CCBS,   2,   0,   5,    -1.000,    -1.000,         0
Unannotated, PSIPP,   2,   0,   5,    -1.000,    -1.000,       211
  Annotated, PSIPP,   2,   0,   6,   324.021,   418.277,         0
Unannotated,  CCBS,   2,   0,   6,   324.021,   418.277,         0
Unannotated, PSIPP,   2,   0,   6,   324.021,   418.277,       164
  Annotated, PSIPP,   2,   0,   7,   423.920,   809.584,         0
Unannotated,  CCBS,   2,   0,   7,   410.936,   807.091,         4
Unannotated, PSIPP,   2,   0,   7,   423.920,   809.584,       195
  Annotated, PSIPP,   2,   0,   8,    -1.000,    -1.000,         0
Unannotated,  CCBS,   2,   0,   8,    -1.000,    -1.000,         0
Unannotated, PSIPP,   2,   0,   8,    -1.000,    -1.000,       152
  Annotated, PSIPP,   2,   0,   9,   589.737,   986.499,         0
Unannotated,  CCBS,   2,   0,   9,   589.737,   986.499,         0
Unannotated, PSIPP,   2,   0,   9,   589.737,   986.499,       185
  Annotated, PSIPP,   2,   0,  10,   327.334,   562.941,         0
Unannotated,  CCBS,   2,   0,  10,   327.334,   562.941,         0
Unannotated, PSIPP,   2,   0,  10,   327.334,   562.941,        87
  Annotated, PSIPP,   2,   0,  11,    -1.000,    -1.000,         0
