0 annotation: 92
1 annotation: 88
2 annotation: 87
3 annotation: 85
4 annotation: 86
5 annotation: 85
6 annotation: 85
7 annotation: 85
8 annotation: 84
9 annotation: 86
10 annotation: 84
11 annotation: 85
12 annotation: 88
13 annotation: 86
14 annotation: 85
15 annotation: 85
16 annotation: 84
17 annotation: 85
18 annotation: 85
19 annotation: 86
20 annotation: 86
21 annotation: 88
22 annotation: 85
23 annotation: 84
24 annotation: 85
  Annotated, PSIPP,   1,   0,   0,    34.519,    34.519,         0
Unannotated,  CCBS,   1,   0,   0,    34.519,    34.519,         0
Unannotated, PSIPP,   1,   0,   0,    34.519,    34.519,         0
  Annotated, PSIPP,   1,   0,   1,   182.660,   182.660,         0
Unannotated,  CCBS,   1,   0,   1,   182.660,   182.660,         0
Unannotated, PSIPP,   1,   0,   1,   182.660,   182.660,         0
  Annotated, PSIPP,   1,   0,   2,   158.688,   158.688,         0
Unannotated,  CCBS,   1,   0,   2,   158.688,   158.688,         0
Unannotated, PSIPP,   1,   0,   2,   158.688,   158.688,         0
  Annotated, PSIPP,   1,   0,   3,     9.130,     9.130,         0
Unannotated,  CCBS,   1,   0,   3,     9.130,     9.130,         0
Unannotated, PSIPP,   1,   0,   3,     9.130,     9.130,         0
  Annotated, PSIPP,   1,   0,   4,   340.662,   340.662,         0
Unannotated,  CCBS,   1,   0,   4,   340.662,   340.662,         0
Unannotated, PSIPP,   1,   0,   4,   340.662,   340.662,         0
  Annotated, PSIPP,   1,   0,   5,   164.504,   164.504,         0
Unannotated,  CCBS,   1,   0,   5,   164.504,   164.504,         0
Unannotated, PSIPP,   1,   0,   5,   164.504,   164.504,         0
  Annotated, PSIPP,   1,   0,   6,    47.966,    47.966,         0
Unannotated,  CCBS,   1,   0,   6,    47.966,    47.966,         0
Unannotated, PSIPP,   1,   0,   6,    47.966,    47.966,         0
  Annotated, PSIPP,   1,   0,   7,   436.397,   436.397,         0
Unannotated,  CCBS,   1,   0,   7,   436.397,   436.397,         0
Unannotated, PSIPP,   1,   0,   7,   436.397,   436.397,         1
  Annotated, PSIPP,   1,   0,   8,   199.607,   199.607,         0
Unannotated,  CCBS,   1,   0,   8,   199.607,   199.607,         0
Unannotated, PSIPP,   1,   0,   8,   199.607,   199.607,         0
  Annotated, PSIPP,   1,   0,   9,   208.519,   208.519,         0
Unannotated,  CCBS,   1,   0,   9,   208.519,   208.519,         0
Unannotated, PSIPP,   1,   0,   9,   208.519,   208.519,         0
  Annotated, PSIPP,   1,   0,  10,    84.988,    84.988,         0
Unannotated,  CCBS,   1,   0,  10,    84.988,    84.988,         0
Unannotated, PSIPP,   1,   0,  10,    84.988,    84.988,         0
  Annotated, PSIPP,   1,   0,  11,   108.865,   108.865,         0
Unannotated,  CCBS,   1,   0,  11,   108.865,   108.865,         0
Unannotated, PSIPP,   1,   0,  11,   108.865,   108.865,         0
  Annotated, PSIPP,   1,   0,  12,   293.653,   293.653,         0
Unannotated,  CCBS,   1,   0,  12,   293.653,   293.653,         0
Unannotated, PSIPP,   1,   0,  12,   293.653,   293.653,         0
  Annotated, PSIPP,   1,   0,  13,    93.972,    93.972,         0
Unannotated,  CCBS,   1,   0,  13,    93.972,    93.972,         0
Unannotated, PSIPP,   1,   0,  13,    93.972,    93.972,         0
  Annotated, PSIPP,   1,   0,  14,   158.098,   158.098,         0
Unannotated,  CCBS,   1,   0,  14,   158.098,   158.098,         0
Unannotated, PSIPP,   1,   0,  14,   158.098,   158.098,         0
  Annotated, PSIPP,   1,   0,  15,   198.732,   198.732,         0
Unannotated,  CCBS,   1,   0,  15,   198.732,   198.732,         0
Unannotated, PSIPP,   1,   0,  15,   198.732,   198.732,         0
  Annotated, PSIPP,   1,   0,  16,   114.754,   114.754,         0
Unannotated,  CCBS,   1,   0,  16,   114.754,   114.754,         0
Unannotated, PSIPP,   1,   0,  16,   114.754,   114.754,         0
  Annotated, PSIPP,   1,   0,  17,    96.287,    96.287,         0
Unannotated,  CCBS,   1,   0,  17,    96.287,    96.287,         0
Unannotated, PSIPP,   1,   0,  17,    96.287,    96.287,         0
  Annotated, PSIPP,   1,   0,  18,   426.869,   426.869,         1
Unannotated,  CCBS,   1,   0,  18,   426.869,   426.869,         0
Unannotated, PSIPP,   1,   0,  18,   426.869,   426.869,         1
  Annotated, PSIPP,   1,   0,  19,   211.491,   211.491,         0
Unannotated,  CCBS,   1,   0,  19,   211.491,   211.491,         0
Unannotated, PSIPP,   1,   0,  19,   211.491,   211.491,         0
  Annotated, PSIPP,   1,   0,  20,    27.931,    27.931,         0
Unannotated,  CCBS,   1,   0,  20,    27.931,    27.931,         0
Unannotated, PSIPP,   1,   0,  20,    27.931,    27.931,         0
  Annotated, PSIPP,   1,   0,  21,   301.455,   301.455,         0
Unannotated,  CCBS,   1,   0,  21,   301.455,   301.455,         0
Unannotated, PSIPP,   1,   0,  21,   301.455,   301.455,         0
  Annotated, PSIPP,   1,   0,  22,   222.691,   222.691,         0
Unannotated,  CCBS,   1,   0,  22,   222.691,   222.691,         0
Unannotated, PSIPP,   1,   0,  22,   222.691,   222.691,         0
  Annotated, PSIPP,   1,   0,  23,   202.282,   202.282,         0
Unannotated,  CCBS,   1,   0,  23,   202.282,   202.282,         0
Unannotated, PSIPP,   1,   0,  23,   202.282,   202.282,         0
  Annotated, PSIPP,   1,   0,  24,   219.621,   219.621,         0
Unannotated,  CCBS,   1,   0,  24,   219.621,   219.621,         0
Unannotated, PSIPP,   1,   0,  24,   219.621,   219.621,         0
  Annotated, PSIPP,   2,   0,   0,   189.543,   224.062,         0
Unannotated,  CCBS,   2,   0,   0,   189.543,   224.062,         1
Unannotated, PSIPP,   2,   0,   0,   189.543,   224.062,       191
