0 annotation: 597
1 annotation: 644
2 annotation: 574
3 annotation: 594
4 annotation: 572
5 annotation: 621
6 annotation: 663
7 annotation: 609
8 annotation: 624
9 annotation: 603
10 annotation: 602
11 annotation: 607
12 annotation: 586
13 annotation: 585
14 annotation: 595
15 annotation: 567
16 annotation: 617
17 annotation: 570
18 annotation: 632
19 annotation: 579
20 annotation: 590
21 annotation: 614
22 annotation: 585
23 annotation: 582
24 annotation: 607
  Annotated, PSIPP,   1,   0,   0,    54.919,    54.919,         1
Unannotated,  CCBS,   1,   0,   0,    54.919,    54.919,         0
Unannotated, PSIPP,   1,   0,   0,    54.919,    54.919,         1
  Annotated, PSIPP,   1,   0,   1,   174.994,   174.994,         1
Unannotated,  CCBS,   1,   0,   1,   174.994,   174.994,         0
Unannotated, PSIPP,   1,   0,   1,   174.994,   174.994,         1
  Annotated, PSIPP,   1,   0,   2,   384.703,   384.703,         1
Unannotated,  CCBS,   1,   0,   2,   384.703,   384.703,         1
Unannotated, PSIPP,   1,   0,   2,   384.703,   384.703,         1
  Annotated, PSIPP,   1,   0,   3,    60.469,    60.469,         1
Unannotated,  CCBS,   1,   0,   3,    60.469,    60.469,         1
Unannotated, PSIPP,   1,   0,   3,    60.469,    60.469,         1
  Annotated, PSIPP,   1,   0,   4,    67.745,    67.745,         0
Unannotated,  CCBS,   1,   0,   4,    67.745,    67.745,         0
Unannotated, PSIPP,   1,   0,   4,    67.745,    67.745,         1
  Annotated, PSIPP,   1,   0,   5,    81.144,    81.144,         1
Unannotated,  CCBS,   1,   0,   5,    81.144,    81.144,         0
Unannotated, PSIPP,   1,   0,   5,    81.144,    81.144,         1
  Annotated, PSIPP,   1,   0,   6,   295.301,   295.301,         1
Unannotated,  CCBS,   1,   0,   6,   295.301,   295.301,         0
Unannotated, PSIPP,   1,   0,   6,   295.301,   295.301,         1
  Annotated, PSIPP,   1,   0,   7,   262.576,   262.576,         1
Unannotated,  CCBS,   1,   0,   7,   262.576,   262.576,         1
Unannotated, PSIPP,   1,   0,   7,   262.576,   262.576,         1
  Annotated, PSIPP,   1,   0,   8,    52.644,    52.644,         1
Unannotated,  CCBS,   1,   0,   8,    52.644,    52.644,         0
Unannotated, PSIPP,   1,   0,   8,    52.644,    52.644,         1
  Annotated, PSIPP,   1,   0,   9,   422.025,   422.025,         1
Unannotated,  CCBS,   1,   0,   9,   422.025,   422.025,         1
Unannotated, PSIPP,   1,   0,   9,   422.025,   422.025,         1
  Annotated, PSIPP,   1,   0,  10,    54.859,    54.859,         0
Unannotated,  CCBS,   1,   0,  10,    54.859,    54.859,         0
Unannotated, PSIPP,   1,   0,  10,    54.859,    54.859,         1
  Annotated, PSIPP,   1,   0,  11,   278.618,   278.618,         1
Unannotated,  CCBS,   1,   0,  11,   278.618,   278.618,         1
Unannotated, PSIPP,   1,   0,  11,   278.618,   278.618,         1
  Annotated, PSIPP,   1,   0,  12,    28.450,    28.450,         0
Unannotated,  CCBS,   1,   0,  12,    28.450,    28.450,         0
Unannotated, PSIPP,   1,   0,  12,    28.450,    28.450,         1
  Annotated, PSIPP,   1,   0,  13,    23.981,    23.981,         0
Unannotated,  CCBS,   1,   0,  13,    23.981,    23.981,         0
Unannotated, PSIPP,   1,   0,  13,    23.981,    23.981,         1
  Annotated, PSIPP,   1,   0,  14,   149.842,   149.842,         1
Unannotated,  CCBS,   1,   0,  14,   149.842,   149.842,         0
Unannotated, PSIPP,   1,   0,  14,   149.842,   149.842,         1
  Annotated, PSIPP,   1,   0,  15,   187.399,   187.399,         1
Unannotated,  CCBS,   1,   0,  15,   187.399,   187.399,         1
Unannotated, PSIPP,   1,   0,  15,   187.399,   187.399,         1
  Annotated, PSIPP,   1,   0,  16,    92.080,    92.080,         1
Unannotated,  CCBS,   1,   0,  16,    92.080,    92.080,         0
Unannotated, PSIPP,   1,   0,  16,    92.080,    92.080,         1
  Annotated, PSIPP,   1,   0,  17,    39.538,    39.538,         1
Unannotated,  CCBS,   1,   0,  17,    39.538,    39.538,         0
Unannotated, PSIPP,   1,   0,  17,    39.538,    39.538,         1
  Annotated, PSIPP,   1,   0,  18,   235.594,   235.594,         1
Unannotated,  CCBS,   1,   0,  18,   235.594,   235.594,         0
Unannotated, PSIPP,   1,   0,  18,   235.594,   235.594,         1
  Annotated, PSIPP,   1,   0,  19,    42.649,    42.649,         0
Unannotated,  CCBS,   1,   0,  19,    42.649,    42.649,         0
Unannotated, PSIPP,   1,   0,  19,    42.649,    42.649,         1
  Annotated, PSIPP,   1,   0,  20,    34.000,    34.000,         1
Unannotated,  CCBS,   1,   0,  20,    34.000,    34.000,         0
Unannotated, PSIPP,   1,   0,  20,    34.000,    34.000,         1
  Annotated, PSIPP,   1,   0,  21,    98.181,    98.181,         1
Unannotated,  CCBS,   1,   0,  21,    98.181,    98.181,         0
Unannotated, PSIPP,   1,   0,  21,    98.181,    98.181,         1
