0 annotation: 22
1 annotation: 21
2 annotation: 22
3 annotation: 22
4 annotation: 21
5 annotation: 21
6 annotation: 21
7 annotation: 20
8 annotation: 21
9 annotation: 21
10 annotation: 20
11 annotation: 21
12 annotation: 21
13 annotation: 20
14 annotation: 21
15 annotation: 21
16 annotation: 21
17 annotation: 21
18 annotation: 21
19 annotation: 21
20 annotation: 21
21 annotation: 20
22 annotation: 21
23 annotation: 20
24 annotation: 20
  Annotated, PSIPP,   1,   0,   0,     8.956,     8.956,         0
Unannotated,  CCBS,   1,   0,   0,     8.956,     8.956,         0
Unannotated, PSIPP,   1,   0,   0,     8.956,     8.956,         0
  Annotated, PSIPP,   1,   0,   1,    47.027,    47.027,         0
Unannotated,  CCBS,   1,   0,   1,    47.027,    47.027,         0
Unannotated, PSIPP,   1,   0,   1,    47.027,    47.027,         0
  Annotated, PSIPP,   1,   0,   2,    58.958,    58.958,         0
Unannotated,  CCBS,   1,   0,   2,    58.958,    58.958,         0
Unannotated, PSIPP,   1,   0,   2,    58.958,    58.958,         0
  Annotated, PSIPP,   1,   0,   3,    24.632,    24.632,         0
Unannotated,  CCBS,   1,   0,   3,    24.632,    24.632,         0
Unannotated, PSIPP,   1,   0,   3,    24.632,    24.632,         0
  Annotated, PSIPP,   1,   0,   4,    39.267,    39.267,         0
Unannotated,  CCBS,   1,   0,   4,    39.267,    39.267,         0
Unannotated, PSIPP,   1,   0,   4,    39.267,    39.267,         0
  Annotated, PSIPP,   1,   0,   5,    58.694,    58.694,         0
Unannotated,  CCBS,   1,   0,   5,    58.694,    58.694,         0
Unannotated, PSIPP,   1,   0,   5,    58.694,    58.694,         0
  Annotated, PSIPP,   1,   0,   6,    26.349,    26.349,         0
Unannotated,  CCBS,   1,   0,   6,    26.349,    26.349,         0
Unannotated, PSIPP,   1,   0,   6,    26.349,    26.349,         0
  Annotated, PSIPP,   1,   0,   7,    46.808,    46.808,         0
Unannotated,  CCBS,   1,   0,   7,    46.808,    46.808,         0
