0 annotation: 82
1 annotation: 79
2 annotation: 74
3 annotation: 74
4 annotation: 73
5 annotation: 75
6 annotation: 88
7 annotation: 70
8 annotation: 67
9 annotation: 75
10 annotation: 78
11 annotation: 76
12 annotation: 89
13 annotation: 79
14 annotation: 76
15 annotation: 77
16 annotation: 74
17 annotation: 69
18 annotation: 74
19 annotation: 79
20 annotation: 68
21 annotation: 74
22 annotation: 77
23 annotation: 76
24 annotation: 78
  Annotated, PSIPP,   1,   0,   0,    30.995,    30.995,         0
Unannotated,  CCBS,   1,   0,   0,    30.995,    30.995,         0
Unannotated, PSIPP,   1,   0,   0,    30.995,    30.995,         0
  Annotated, PSIPP,   1,   0,   1,    21.796,    21.796,         0
Unannotated,  CCBS,   1,   0,   1,    21.796,    21.796,         0
Unannotated, PSIPP,   1,   0,   1,    21.796,    21.796,         0
  Annotated, PSIPP,   1,   0,   2,     5.761,     5.761,         0
Unannotated,  CCBS,   1,   0,   2,     5.761,     5.761,         0
Unannotated, PSIPP,   1,   0,   2,     5.761,     5.761,         0
  Annotated, PSIPP,   1,   0,   3,    48.467,    48.467,         0
Unannotated,  CCBS,   1,   0,   3,    48.467,    48.467,         0
Unannotated, PSIPP,   1,   0,   3,    48.467,    48.467,         0
  Annotated, PSIPP,   1,   0,   4,     6.755,     6.755,         0
Unannotated,  CCBS,   1,   0,   4,     6.755,     6.755,         0
Unannotated, PSIPP,   1,   0,   4,     6.755,     6.755,         0
  Annotated, PSIPP,   1,   0,   5,    43.882,    43.882,         0
Unannotated,  CCBS,   1,   0,   5,    43.882,    43.882,         0
Unannotated, PSIPP,   1,   0,   5,    43.882,    43.882,         0
  Annotated, PSIPP,   1,   0,   6,    44.035,    44.035,         0
Unannotated,  CCBS,   1,   0,   6,    44.035,    44.035,         0
Unannotated, PSIPP,   1,   0,   6,    44.035,    44.035,         0
  Annotated, PSIPP,   1,   0,   7,    33.027,    33.027,         0
Unannotated,  CCBS,   1,   0,   7,    33.027,    33.027,         0
Unannotated, PSIPP,   1,   0,   7,    33.027,    33.027,         0
  Annotated, PSIPP,   1,   0,   8,    60.420,    60.420,         0
Unannotated,  CCBS,   1,   0,   8,    60.420,    60.420,         0
Unannotated, PSIPP,   1,   0,   8,    60.420,    60.420,         0
  Annotated, PSIPP,   1,   0,   9,    29.233,    29.233,         0
Unannotated,  CCBS,   1,   0,   9,    29.233,    29.233,         0
Unannotated, PSIPP,   1,   0,   9,    29.233,    29.233,         0
  Annotated, PSIPP,   1,   0,  10,    17.974,    17.974,         0
Unannotated,  CCBS,   1,   0,  10,    17.974,    17.974,         0
Unannotated, PSIPP,   1,   0,  10,    17.974,    17.974,         0
