0 annotation: 115
1 annotation: 110
2 annotation: 110
3 annotation: 110
4 annotation: 111
5 annotation: 109
6 annotation: 111
7 annotation: 110
8 annotation: 110
9 annotation: 109
10 annotation: 111
11 annotation: 110
12 annotation: 111
13 annotation: 110
14 annotation: 111
15 annotation: 112
16 annotation: 109
17 annotation: 112
18 annotation: 110
19 annotation: 110
20 annotation: 109
21 annotation: 109
22 annotation: 110
23 annotation: 110
24 annotation: 110
  Annotated, PSIPP,   1,   0,   0,    12.771,    12.771,         0
Unannotated,  CCBS,   1,   0,   0,    12.771,    12.771,         0
Unannotated, PSIPP,   1,   0,   0,    12.771,    12.771,         0
  Annotated, PSIPP,   1,   0,   1,    21.155,    21.155,         0
Unannotated,  CCBS,   1,   0,   1,    21.155,    21.155,         0
Unannotated, PSIPP,   1,   0,   1,    21.155,    21.155,         0
  Annotated, PSIPP,   1,   0,   2,    14.793,    14.793,         0
Unannotated,  CCBS,   1,   0,   2,    14.793,    14.793,         0
Unannotated, PSIPP,   1,   0,   2,    14.793,    14.793,         0
  Annotated, PSIPP,   1,   0,   3,    36.825,    36.825,         0
Unannotated,  CCBS,   1,   0,   3,    36.825,    36.825,         0
Unannotated, PSIPP,   1,   0,   3,    36.825,    36.825,         0
  Annotated, PSIPP,   1,   0,   4,    25.368,    25.368,         0
Unannotated,  CCBS,   1,   0,   4,    25.368,    25.368,         0
Unannotated, PSIPP,   1,   0,   4,    25.368,    25.368,         0
  Annotated, PSIPP,   1,   0,   5,    30.408,    30.408,         0
Unannotated,  CCBS,   1,   0,   5,    30.408,    30.408,         0
Unannotated, PSIPP,   1,   0,   5,    30.408,    30.408,         0
  Annotated, PSIPP,   1,   0,   6,    29.197,    29.197,         0
Unannotated,  CCBS,   1,   0,   6,    29.197,    29.197,         0
Unannotated, PSIPP,   1,   0,   6,    29.197,    29.197,         0
  Annotated, PSIPP,   1,   0,   7,    14.499,    14.499,         0
Unannotated,  CCBS,   1,   0,   7,    14.499,    14.499,         0
Unannotated, PSIPP,   1,   0,   7,    14.499,    14.499,         0
  Annotated, PSIPP,   1,   0,   8,    47.750,    47.750,         0
Unannotated,  CCBS,   1,   0,   8,    47.750,    47.750,         0
Unannotated, PSIPP,   1,   0,   8,    47.750,    47.750,         0
  Annotated, PSIPP,   1,   0,   9,    50.266,    50.266,         0
Unannotated,  CCBS,   1,   0,   9,    50.266,    50.266,         0
Unannotated, PSIPP,   1,   0,   9,    50.266,    50.266,         0
  Annotated, PSIPP,   1,   0,  10,    49.026,    49.026,         0
Unannotated,  CCBS,   1,   0,  10,    49.026,    49.026,         0
Unannotated, PSIPP,   1,   0,  10,    49.026,    49.026,         0
  Annotated, PSIPP,   1,   0,  11,    39.587,    39.587,         0
Unannotated,  CCBS,   1,   0,  11,    39.587,    39.587,         0
Unannotated, PSIPP,   1,   0,  11,    39.587,    39.587,         0
  Annotated, PSIPP,   1,   0,  12,    39.841,    39.841,         0
Unannotated,  CCBS,   1,   0,  12,    39.841,    39.841,         0
Unannotated, PSIPP,   1,   0,  12,    39.841,    39.841,         0
  Annotated, PSIPP,   1,   0,  13,    22.311,    22.311,         0
Unannotated,  CCBS,   1,   0,  13,    22.311,    22.311,         0
Unannotated, PSIPP,   1,   0,  13,    22.311,    22.311,         0
  Annotated, PSIPP,   1,   0,  14,    43.571,    43.571,         0
Unannotated,  CCBS,   1,   0,  14,    43.571,    43.571,         0
Unannotated, PSIPP,   1,   0,  14,    43.571,    43.571,         0
  Annotated, PSIPP,   1,   0,  15,    46.292,    46.292,         0
Unannotated,  CCBS,   1,   0,  15,    46.292,    46.292,         0
Unannotated, PSIPP,   1,   0,  15,    46.292,    46.292,         0
  Annotated, PSIPP,   1,   0,  16,    47.815,    47.815,         0
