0 annotation: 97
1 annotation: 99
2 annotation: 97
3 annotation: 96
4 annotation: 97
5 annotation: 95
6 annotation: 94
7 annotation: 95
8 annotation: 95
9 annotation: 97
10 annotation: 96
11 annotation: 95
12 annotation: 96
13 annotation: 96
14 annotation: 94
15 annotation: 96
16 annotation: 99
17 annotation: 98
18 annotation: 98
19 annotation: 98
20 annotation: 95
21 annotation: 95
22 annotation: 96
23 annotation: 94
24 annotation: 95
  Annotated, PSIPP,   1,   0,   0,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   0,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   0,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   1,     4.793,     4.793,         0
Unannotated,  CCBS,   1,   0,   1,     4.793,     4.793,         0
Unannotated, PSIPP,   1,   0,   1,     4.793,     4.793,         0
  Annotated, PSIPP,   1,   0,   2,    21.252,    21.252,         0
Unannotated,  CCBS,   1,   0,   2,    21.252,    21.252,         0
Unannotated, PSIPP,   1,   0,   2,    21.252,    21.252,         0
  Annotated, PSIPP,   1,   0,   3,    26.948,    26.948,         0
Unannotated,  CCBS,   1,   0,   3,    26.948,    26.948,         0
Unannotated, PSIPP,   1,   0,   3,    26.948,    26.948,         0
  Annotated, PSIPP,   1,   0,   4,    48.372,    48.372,         0
Unannotated,  CCBS,   1,   0,   4,    48.372,    48.372,         0
Unannotated, PSIPP,   1,   0,   4,    48.372,    48.372,         0
  Annotated, PSIPP,   1,   0,   5,    45.757,    45.757,         0
Unannotated,  CCBS,   1,   0,   5,    45.757,    45.757,         0
Unannotated, PSIPP,   1,   0,   5,    45.757,    45.757,         0
  Annotated, PSIPP,   1,   0,   6,    76.205,    76.205,         0
Unannotated,  CCBS,   1,   0,   6,    76.205,    76.205,         0
Unannotated, PSIPP,   1,   0,   6,    76.205,    76.205,         0
  Annotated, PSIPP,   1,   0,   7,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   7,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   7,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   8,   139.053,   139.053,         0
Unannotated,  CCBS,   1,   0,   8,   139.053,   139.053,         0
Unannotated, PSIPP,   1,   0,   8,   139.053,   139.053,         0
  Annotated, PSIPP,   1,   0,   9,    54.463,    54.463,         0
Unannotated,  CCBS,   1,   0,   9,    54.463,    54.463,         0
Unannotated, PSIPP,   1,   0,   9,    54.463,    54.463,         0
  Annotated, PSIPP,   1,   0,  10,    42.067,    42.067,         0
Unannotated,  CCBS,   1,   0,  10,    42.067,    42.067,         0
Unannotated, PSIPP,   1,   0,  10,    42.067,    42.067,         0
  Annotated, PSIPP,   1,   0,  11,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  11,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  11,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  12,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  12,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  12,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  13,    -1.000,    -1.000,         1
Unannotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  14,    53.932,    53.932,         0
Unannotated,  CCBS,   1,   0,  14,    53.932,    53.932,         0
Unannotated, PSIPP,   1,   0,  14,    53.932,    53.932,         0
  Annotated, PSIPP,   1,   0,  15,    37.278,    37.278,         0
Unannotated,  CCBS,   1,   0,  15,    37.278,    37.278,         0
Unannotated, PSIPP,   1,   0,  15,    37.278,    37.278,         0
  Annotated, PSIPP,   1,   0,  16,   158.170,   158.170,         0
Unannotated,  CCBS,   1,   0,  16,   158.170,   158.170,         0
Unannotated, PSIPP,   1,   0,  16,   158.170,   158.170,         0
  Annotated, PSIPP,   1,   0,  17,    56.687,    56.687,         0
Unannotated,  CCBS,   1,   0,  17,    56.687,    56.687,         0
Unannotated, PSIPP,   1,   0,  17,    56.687,    56.687,         0
  Annotated, PSIPP,   1,   0,  18,   134.541,   134.541,         0
Unannotated,  CCBS,   1,   0,  18,   134.541,   134.541,         0
Unannotated, PSIPP,   1,   0,  18,   134.541,   134.541,         0
  Annotated, PSIPP,   1,   0,  19,    48.801,    48.801,         0
Unannotated,  CCBS,   1,   0,  19,    48.801,    48.801,         0
Unannotated, PSIPP,   1,   0,  19,    48.801,    48.801,         0
  Annotated, PSIPP,   1,   0,  20,   132.786,   132.786,         0
Unannotated,  CCBS,   1,   0,  20,   132.786,   132.786,         0
Unannotated, PSIPP,   1,   0,  20,   132.786,   132.786,         0
  Annotated, PSIPP,   1,   0,  21,    33.873,    33.873,         0
Unannotated,  CCBS,   1,   0,  21,    33.873,    33.873,         0
Unannotated, PSIPP,   1,   0,  21,    33.873,    33.873,         0
  Annotated, PSIPP,   1,   0,  22,   122.191,   122.191,         0
