0 annotation: 61
1 annotation: 60
2 annotation: 52
3 annotation: 61
4 annotation: 58
5 annotation: 53
6 annotation: 59
7 annotation: 55
8 annotation: 52
9 annotation: 68
10 annotation: 51
11 annotation: 49
12 annotation: 55
13 annotation: 54
14 annotation: 56
15 annotation: 53
16 annotation: 50
17 annotation: 59
18 annotation: 60
19 annotation: 66
20 annotation: 55
21 annotation: 61
22 annotation: 53
23 annotation: 53
24 annotation: 64
  Annotated, PSIPP,   1,   0,   0,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   0,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   0,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   1,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   1,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   1,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   2,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   2,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   2,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   3,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   3,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   3,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   4,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   4,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   4,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   5,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   5,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   5,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   6,    77.472,    77.472,         0
Unannotated,  CCBS,   1,   0,   6,    77.472,    77.472,         0
Unannotated, PSIPP,   1,   0,   6,    77.472,    77.472,         0
  Annotated, PSIPP,   1,   0,   7,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   7,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   7,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   8,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   8,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   8,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   9,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   9,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   9,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  10,    42.402,    42.402,         0
Unannotated,  CCBS,   1,   0,  10,    42.402,    42.402,         0
Unannotated, PSIPP,   1,   0,  10,    42.402,    42.402,         0
  Annotated, PSIPP,   1,   0,  11,    64.165,    64.165,         0
Unannotated,  CCBS,   1,   0,  11,    64.165,    64.165,         0
Unannotated, PSIPP,   1,   0,  11,    64.165,    64.165,         0
  Annotated, PSIPP,   1,   0,  12,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  12,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  12,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  14,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  14,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  14,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  15,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  15,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  15,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  16,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  16,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  16,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  17,    35.096,    35.096,         0
Unannotated,  CCBS,   1,   0,  17,    35.096,    35.096,         0
Unannotated, PSIPP,   1,   0,  17,    35.096,    35.096,         0
  Annotated, PSIPP,   1,   0,  18,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  18,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  18,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  19,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  19,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  19,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  20,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  20,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  20,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  21,    -1.000,    -1.000,         0
