0 annotation: 724
1 annotation: 685
2 annotation: 679
3 annotation: 677
4 annotation: 680
5 annotation: 674
6 annotation: 676
7 annotation: 677
8 annotation: 683
9 annotation: 701
10 annotation: 677
11 annotation: 677
12 annotation: 678
13 annotation: 684
14 annotation: 682
15 annotation: 702
16 annotation: 691
17 annotation: 715
18 annotation: 695
19 annotation: 686
20 annotation: 685
21 annotation: 682
22 annotation: 679
23 annotation: 681
24 annotation: 687
  Annotated, PSIPP,   1,   0,   0,   169.244,   169.244,         3
Unannotated,  CCBS,   1,   0,   0,   169.244,   169.244,         3
Unannotated, PSIPP,   1,   0,   0,   169.244,   169.244,         3
  Annotated, PSIPP,   1,   0,   1,   286.769,   286.769,         3
Unannotated,  CCBS,   1,   0,   1,   286.769,   286.769,         3
Unannotated, PSIPP,   1,   0,   1,   286.769,   286.769,         3
  Annotated, PSIPP,   1,   0,   2,    67.859,    67.859,         3
Unannotated,  CCBS,   1,   0,   2,    67.859,    67.859,         3
Unannotated, PSIPP,   1,   0,   2,    67.859,    67.859,         3
  Annotated, PSIPP,   1,   0,   3,   271.514,   271.514,         3
Unannotated,  CCBS,   1,   0,   3,   271.514,   271.514,         3
Unannotated, PSIPP,   1,   0,   3,   271.514,   271.514,         4
  Annotated, PSIPP,   1,   0,   4,   243.074,   243.074,         3
Unannotated,  CCBS,   1,   0,   4,   243.074,   243.074,         3
Unannotated, PSIPP,   1,   0,   4,   243.074,   243.074,         4
  Annotated, PSIPP,   1,   0,   5,   203.540,   203.540,         4
Unannotated,  CCBS,   1,   0,   5,   203.540,   203.540,         3
Unannotated, PSIPP,   1,   0,   5,   203.540,   203.540,         5
  Annotated, PSIPP,   1,   0,   6,   116.075,   116.075,         3
Unannotated,  CCBS,   1,   0,   6,   116.075,   116.075,         3
Unannotated, PSIPP,   1,   0,   6,   116.075,   116.075,         3
  Annotated, PSIPP,   1,   0,   7,     7.130,     7.130,         3
Unannotated,  CCBS,   1,   0,   7,     7.130,     7.130,         3
Unannotated, PSIPP,   1,   0,   7,     7.130,     7.130,         5
  Annotated, PSIPP,   1,   0,   8,    90.626,    90.626,         4
Unannotated,  CCBS,   1,   0,   8,    90.626,    90.626,         3
Unannotated, PSIPP,   1,   0,   8,    90.626,    90.626,         4
  Annotated, PSIPP,   1,   0,   9,   190.692,   190.692,         3
Unannotated,  CCBS,   1,   0,   9,   190.692,   190.692,         3
Unannotated, PSIPP,   1,   0,   9,   190.692,   190.692,         4
  Annotated, PSIPP,   1,   0,  10,    43.092,    43.092,         2
Unannotated,  CCBS,   1,   0,  10,    43.092,    43.092,         3
Unannotated, PSIPP,   1,   0,  10,    43.092,    43.092,         3
  Annotated, PSIPP,   1,   0,  11,   159.102,   159.102,         3
Unannotated,  CCBS,   1,   0,  11,   159.102,   159.102,         3
Unannotated, PSIPP,   1,   0,  11,   159.102,   159.102,         4
  Annotated, PSIPP,   1,   0,  12,   200.169,   200.169,         3
Unannotated,  CCBS,   1,   0,  12,   200.169,   200.169,         3
Unannotated, PSIPP,   1,   0,  12,   200.169,   200.169,         3
  Annotated, PSIPP,   1,   0,  13,   118.600,   118.600,         3
Unannotated,  CCBS,   1,   0,  13,   118.600,   118.600,         3
Unannotated, PSIPP,   1,   0,  13,   118.600,   118.600,         3
  Annotated, PSIPP,   1,   0,  14,   329.137,   329.137,         3
Unannotated,  CCBS,   1,   0,  14,   329.137,   329.137,         3
Unannotated, PSIPP,   1,   0,  14,   329.137,   329.137,         6
  Annotated, PSIPP,   1,   0,  15,   252.899,   252.899,         4
Unannotated,  CCBS,   1,   0,  15,   252.899,   252.899,         3
Unannotated, PSIPP,   1,   0,  15,   252.899,   252.899,         4
  Annotated, PSIPP,   1,   0,  16,   220.355,   220.355,         3
Unannotated,  CCBS,   1,   0,  16,   220.355,   220.355,         3
Unannotated, PSIPP,   1,   0,  16,   220.355,   220.355,         4
  Annotated, PSIPP,   1,   0,  17,   181.301,   181.301,         3
Unannotated,  CCBS,   1,   0,  17,   181.301,   181.301,         3
Unannotated, PSIPP,   1,   0,  17,   181.301,   181.301,         4
  Annotated, PSIPP,   1,   0,  18,    62.770,    62.770,         2
Unannotated,  CCBS,   1,   0,  18,    62.770,    62.770,         3
Unannotated, PSIPP,   1,   0,  18,    62.770,    62.770,         3
  Annotated, PSIPP,   1,   0,  19,   257.011,   257.011,         3
Unannotated,  CCBS,   1,   0,  19,   257.011,   257.011,         3
Unannotated, PSIPP,   1,   0,  19,   257.011,   257.011,         4
  Annotated, PSIPP,   1,   0,  20,   299.521,   299.521,         3
Unannotated,  CCBS,   1,   0,  20,   299.521,   299.521,         3
Unannotated, PSIPP,   1,   0,  20,   299.521,   299.521,         4
  Annotated, PSIPP,   1,   0,  21,   336.496,   336.496,         3
